SIRUTA,F1,F2,F3
28665,-0.047,-0.183,-0.168
28709,-0.044,-0.079,-0.069
28763,-0.065,-0.193,-0.068
28816,-0.070,-0.280,0.104
28889,-0.064,-0.201,-0.015
28941,-0.030,-0.043,-0.325
29001,-0.062,-0.240,-0.031
29038,-0.047,-0.122,-0.106
29092,-0.036,0.019,-0.276
29154,0.007,0.186,0.004
29243,-0.084,-0.124,0.280
29341,-0.084,-0.214,-0.006
29403,0.010,0.186,0.041
29467,-0.041,0.023,0.038
29519,0.006,0.167,-0.322
29573,-0.064,-0.314,0.035
29662,-0.068,-0.198,0.050
29724,-0.057,-0.118,-0.055
29760,-0.062,-0.185,-0.027
29813,-0.012,0.081,-0.482
29902,-0.050,-0.273,0.100
29948,-0.067,-0.053,0.008
30014,-0.062,0.187,-0.046
30069,-0.018,0.082,0.122
30149,-0.037,0.531,-0.210
30229,-0.061,-0.191,0.002
30274,-0.071,-0.168,0.239
30336,-0.032,0.005,0.001
30416,-0.054,-0.134,-0.000
30470,-0.043,-0.054,-0.071
30568,0.110,0.596,-0.548
30648,-0.075,-0.275,0.085
30719,-0.037,-0.055,0.038
30773,-0.064,0.054,0.127
30844,-0.059,0.062,-0.238
30871,-0.096,-0.577,0.315
30915,0.010,0.419,1.222
30988,-0.062,-0.143,-0.060
31011,0.010,0.271,-0.008
31057,-0.060,-0.214,0.085
31128,-0.058,-0.140,-0.051
31208,-0.063,-0.192,-0.013
31262,-0.089,-0.190,0.865
31333,-0.061,-0.175,0.019
31379,-0.064,-0.196,-0.043
31422,-0.074,-0.179,0.129
31510,-0.036,-0.131,-0.231
31565,-0.072,-0.200,0.037
31609,-0.013,0.052,0.054
31654,-0.052,-0.076,-0.132
31716,-0.031,0.101,-1.252
31789,-0.059,-0.007,-0.061
31841,-0.061,-0.317,0.050
31878,-0.076,-0.183,-0.004
31921,-0.058,0.122,-0.216
31976,-0.093,-0.013,-0.107
32027,0.070,0.550,-3.855
32045,-0.062,-0.193,0.009
32090,-0.037,-0.039,-0.151
32153,-0.057,0.023,-0.084
32161,-0.727,-4.681,-0.742
32179,0.017,0.171,0.221
32187,-0.035,-0.081,-0.331
32195,-0.060,-0.220,0.188
32201,-0.051,-0.141,-0.063
32394,1.408,5.217,0.822
32483,-0.051,-0.372,-0.652
32544,-0.001,0.684,0.620
32599,0.115,0.857,-0.684
32633,-0.027,-0.047,0.100
32660,-0.100,-0.452,-0.323
32704,-0.133,-0.428,-0.068
32768,-0.060,-0.188,0.003
32811,-0.088,-0.158,-0.038
32884,-0.080,-0.298,-0.069
32955,-0.026,-0.095,-0.019
33015,-0.050,-0.124,0.001
33122,0.060,0.073,-0.286
33177,-0.027,0.019,0.258
33202,-0.032,-0.031,0.339
33248,-0.046,0.088,0.249
33275,-0.105,-0.590,0.439
33337,-0.043,-0.081,-0.063
33364,-0.047,-0.005,-0.081
33382,-0.049,-0.001,0.120
33435,-0.033,0.159,0.014
33514,-0.038,-0.043,-0.231
33541,-0.044,0.068,-0.357
33603,-0.028,-0.045,-0.079
33621,0.266,2.179,-1.849
33658,-0.059,-0.178,-0.004
33729,-0.072,-0.466,0.318
33765,-0.061,-0.165,-0.027
33845,-0.061,-0.192,-0.004
33881,-0.059,-0.176,-0.056
33952,-0.082,-0.204,0.102
33989,-0.041,-0.038,0.034
34075,-0.044,-0.363,-0.516
34155,-0.062,-0.155,-0.044
34173,-0.088,-0.047,0.122
34235,-0.036,-0.042,0.016
34262,-0.028,0.018,0.229
34280,-0.062,-0.057,0.952
34333,0.039,0.469,-0.183
34360,0.009,0.295,-0.266
34397,-0.041,-0.041,0.275
34422,-0.059,-0.188,-0.003
34477,-0.063,-0.189,-0.002
34547,-0.066,-0.104,-0.022
34618,0.205,1.521,-0.993
34645,-0.057,-0.137,-0.050
34690,-0.076,0.488,1.317
34770,-0.049,-0.159,-0.064
34850,-0.058,-0.167,0.005
34903,-0.034,-0.266,-0.170
34985,-0.056,-0.182,0.101
35054,0.015,0.307,-0.494
35090,-0.029,0.345,-0.414
35152,-0.060,-0.135,-0.135
35269,-0.091,-0.115,-0.097
35312,-0.061,-0.193,-0.003
35429,-0.060,-0.176,0.024
35731,0.829,2.739,6.343
35759,-0.132,0.324,0.935
35839,-0.138,-0.165,0.126
35884,-0.007,0.069,0.017
35946,-0.026,-0.015,0.632
36006,0.032,0.886,0.687
36060,-0.073,-0.112,-0.014
36131,-0.055,-0.130,-0.060
36202,-0.061,-0.155,0.055
36300,-0.065,-0.193,-0.003
36373,-0.063,-0.191,-0.003
36426,-0.038,-0.090,-0.100
36453,-0.063,-0.178,-0.012
36499,-0.057,-0.187,-0.022
36532,-0.063,-0.198,0.019
36569,-0.047,-0.157,-0.039
36649,-0.059,-0.188,-0.021
36676,-0.053,-0.137,-0.099
